,index,price_euro_per_MWh
0,2025-01-01 00:00:00,134.49
1,2025-01-01 01:00:00,131.59
2,2025-01-01 02:00:00,131.49
3,2025-01-01 03:00:00,131.42
4,2025-01-01 04:00:00,120.49
5,2025-01-01 05:00:00,112.3
6,2025-01-01 06:00:00,112.3
7,2025-01-01 07:00:00,111.88
8,2025-01-01 08:00:00,112.09
9,2025-01-01 09:00:00,94.99
10,2025-01-01 10:00:00,50.01
11,2025-01-01 11:00:00,20.59
12,2025-01-01 12:00:00,28.11
13,2025-01-01 13:00:00,40.63
14,2025-01-01 14:00:00,30.6
15,2025-01-01 15:00:00,40.63
16,2025-01-01 16:00:00,72.0
17,2025-01-01 17:00:00,125.49
18,2025-01-01 18:00:00,149.72
19,2025-01-01 19:00:00,150.67
20,2025-01-01 20:00:00,152.99
21,2025-01-01 21:00:00,151.69
22,2025-01-01 22:00:00,147.75
23,2025-01-01 23:00:00,133.06
24,2025-01-02 00:00:00,137.12
25,2025-01-02 01:00:00,123.03
26,2025-01-02 02:00:00,102.3
27,2025-01-02 03:00:00,102.09
28,2025-01-02 04:00:00,102.09
29,2025-01-02 05:00:00,101.88
30,2025-01-02 06:00:00,128.44
31,2025-01-02 07:00:00,143.96
32,2025-01-02 08:00:00,152.92
33,2025-01-02 09:00:00,152.16
34,2025-01-02 10:00:00,129.04
35,2025-01-02 11:00:00,125.7
36,2025-01-02 12:00:00,125.72
37,2025-01-02 13:00:00,119.3
38,2025-01-02 14:00:00,124.65
39,2025-01-02 15:00:00,130.11
40,2025-01-02 16:00:00,139.5
41,2025-01-02 17:00:00,153.4
42,2025-01-02 18:00:00,159.18
43,2025-01-02 19:00:00,160.99
44,2025-01-02 20:00:00,161.1
45,2025-01-02 21:00:00,157.88
46,2025-01-02 22:00:00,152.44
47,2025-01-02 23:00:00,140.0
48,2025-01-03 00:00:00,121.52
49,2025-01-03 01:00:00,105.88
50,2025-01-03 02:00:00,93.94
51,2025-01-03 03:00:00,91.1
52,2025-01-03 04:00:00,90.01
53,2025-01-03 05:00:00,92.25
54,2025-01-03 06:00:00,100.14
55,2025-01-03 07:00:00,126.0
56,2025-01-03 08:00:00,141.2
57,2025-01-03 09:00:00,138.0
58,2025-01-03 10:00:00,130.52
59,2025-01-03 11:00:00,123.2
60,2025-01-03 12:00:00,113.51
61,2025-01-03 13:00:00,107.6
62,2025-01-03 14:00:00,105.88
63,2025-01-03 15:00:00,110.22
64,2025-01-03 16:00:00,123.2
65,2025-01-03 17:00:00,141.2
66,2025-01-03 18:00:00,149.62
67,2025-01-03 19:00:00,151.25
68,2025-01-03 20:00:00,151.25
69,2025-01-03 21:00:00,149.12
70,2025-01-03 22:00:00,145.58
71,2025-01-03 23:00:00,136.42
72,2025-01-04 00:00:00,112.84
73,2025-01-04 01:00:00,101.0
74,2025-01-04 02:00:00,95.53
75,2025-01-04 03:00:00,94.33
76,2025-01-04 04:00:00,96.62
77,2025-01-04 05:00:00,102.63
78,2025-01-04 06:00:00,110.89
79,2025-01-04 07:00:00,120.25
80,2025-01-04 08:00:00,128.39
81,2025-01-04 09:00:00,128.41
82,2025-01-04 10:00:00,118.99
83,2025-01-04 11:00:00,99.0
84,2025-01-04 12:00:00,82.52
85,2025-01-04 13:00:00,82.27
86,2025-01-04 14:00:00,88.22
87,2025-01-04 15:00:00,97.35
88,2025-01-04 16:00:00,119.47
89,2025-01-04 17:00:00,134.63
90,2025-01-04 18:00:00,145.0
91,2025-01-04 19:00:00,139.73
92,2025-01-04 20:00:00,130.49
93,2025-01-04 21:00:00,123.82
94,2025-01-04 22:00:00,119.23
95,2025-01-04 23:00:00,109.9
96,2025-01-05 00:00:00,101.77
97,2025-01-05 01:00:00,70.5
98,2025-01-05 02:00:00,64.81
99,2025-01-05 03:00:00,46.7
100,2025-01-05 04:00:00,43.87
101,2025-01-05 05:00:00,36.61
102,2025-01-05 06:00:00,34.04
103,2025-01-05 07:00:00,44.0
104,2025-01-05 08:00:00,51.27
105,2025-01-05 09:00:00,50.0
106,2025-01-05 10:00:00,49.81
107,2025-01-05 11:00:00,43.05
108,2025-01-05 12:00:00,45.74
109,2025-01-05 13:00:00,35.19
110,2025-01-05 14:00:00,30.0
111,2025-01-05 15:00:00,28.0
112,2025-01-05 16:00:00,35.22
113,2025-01-05 17:00:00,57.72
114,2025-01-05 18:00:00,64.81
